,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.4512125935590555,0.0,0.2376649630195605,0.0,0.46353686522504056,0.0,0.5259240482050567,0.0,0.4618120761692355,0.0,0.46353686522504056,0.0
drop_physicochemical,42.0,0.4178341762599924,0.0,0.20301395693932617,0.0,0.4358345287688519,0.0,0.5046531562881601,0.0,0.44441371378887584,0.0,0.4358345287688519,0.0
drop_substitution,63.0,0.41810360307350436,0.0,0.19664708931962277,0.0,0.43178557685287283,0.0,0.4920267106078513,0.0,0.4394297338437547,0.0,0.43178557685287283,0.0
drop_positional,46.0,0.3661854382147952,0.0,0.15063363265486446,0.0,0.44639939007724844,0.0,0.4025289289472269,0.0,0.3811017095616825,0.0,0.44639939007724844,0.0
drop_structural_core,59.0,0.4325346099303487,0.0,0.22800579055936526,0.0,0.45215646575559526,0.0,0.5020539237861502,0.0,0.4651909581902224,0.0,0.45215646575559526,0.0
drop_structural_nachr,59.0,0.41752942627707623,0.0,0.18136016907189492,0.0,0.428411331937881,0.0,0.4950677494656818,0.0,0.4409623508758851,0.0,0.428411331937881,0.0
drop_conformational,61.0,0.44792986723959355,0.0,0.2496842814182206,0.0,0.4560537114354644,0.0,0.5339795018316446,0.0,0.4660642553263924,0.0,0.4560537114354644,0.0
