,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.4178219474811396,0.024422086779211927,0.15966419398174342,0.028528216082852685,0.44782523119964396,0.03826298333800731,0.45508571264177444,0.007002991345873837,0.4362059274438108,0.019621604183756355,0.44782523119964396,0.03826298333800731
drop_physicochemical,42.0,0.3979813725861914,0.007554759849175858,0.148692598150185,0.028380640615014024,0.4223450745966852,0.01092880898185294,0.4466189118316759,0.039552661519831174,0.41959707150400133,0.0024911552908211,0.4223450745966852,0.01092880898185294
drop_substitution,63.0,0.41559383960914364,0.0317969023939983,0.16424915608937166,0.04472285578243562,0.4440947328762445,0.039980931731311016,0.4548357351581161,0.019191749608635802,0.4409933749838057,0.026769945591998065,0.4440947328762445,0.039980931731311016
drop_positional,46.0,0.3971749493618257,0.011549710020598795,0.1428455917467064,0.021585250880227558,0.44550989234248856,0.023452313610603175,0.43058881956145273,0.022695372810097515,0.4270766729813835,0.010849242374189896,0.44550989234248856,0.023452313610603175
drop_structural_core,59.0,0.4364725368255294,0.021459584548496308,0.1756889807206745,0.021150514905389998,0.4758862107317848,0.02032439306378034,0.47064514177434,0.01974884516993866,0.4488662403503925,0.02221551625288866,0.4758862107317848,0.02032439306378034
drop_structural_nachr,59.0,0.4192601318002411,0.011337088131997783,0.16351842909641875,0.019702900293307245,0.46126584383645025,0.007909947024127716,0.45347923015950986,0.016719361640779907,0.43587131707171084,0.011943346252322056,0.46126584383645025,0.007909947024127716
drop_conformational,61.0,0.42465095038363937,0.024286250740094304,0.17959068607956388,0.024527791340243323,0.45126375743797986,0.033636803656943985,0.46071226014360206,0.013669435576951867,0.44814818066092005,0.016653661226697956,0.45126375743797986,0.033636803656943985
