,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.4214399194056619,0.0,0.1715692908297564,0.0,0.43485843431342797,0.0,0.49748089353882846,0.0,0.43947667895603787,0.0,0.43485843431342797,0.0
drop_physicochemical,42.0,0.4094489492646871,0.0,0.18489367689760802,0.0,0.42559481459311577,0.0,0.5041304806962279,0.0,0.4448625031770247,0.0,0.42559481459311577,0.0
drop_substitution,63.0,0.42119033666846184,0.0,0.17163498882281697,0.0,0.43899520469779835,0.0,0.4889188879129784,0.0,0.43574776911790397,0.0,0.43899520469779835,0.0
drop_positional,46.0,0.4043603083750419,0.0,0.12596702563217077,0.0,0.4707273390325625,0.0,0.4351578664533357,0.0,0.4289062172415088,0.0,0.4707273390325625,0.0
drop_structural_core,59.0,0.4351715958085598,0.0,0.2348805142780152,0.0,0.45140923845756803,0.0,0.5048316454073739,0.0,0.49776650710998227,0.0,0.45140923845756803,0.0
drop_structural_nachr,59.0,0.40949111695410545,0.0,0.1859195880199392,0.0,0.42163702694140015,0.0,0.5063126645089933,0.0,0.4232265682142186,0.0,0.42163702694140015,0.0
drop_conformational,61.0,0.4570245853343956,0.0,0.2556709231815527,0.0,0.4765250623305331,0.0,0.5390600196152633,0.0,0.4742739539081179,0.0,0.4765250623305331,0.0
