,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.4401453684621184,0.0,0.22286541634618123,0.0,0.4629083663142424,0.0,0.5020907621295778,0.0,0.47157542869715974,0.0,0.4629083663142424,0.0
drop_physicochemical,42.0,0.4389724701963166,0.0,0.2383887751237145,0.0,0.4579855141394743,0.0,0.5144026431553842,0.0,0.47085205177159806,0.0,0.4579855141394743,0.0
drop_substitution,63.0,0.42729089829682093,0.0,0.2108064313184141,0.0,0.45017321355849466,0.0,0.4951123331109629,0.0,0.4591228470710885,0.0,0.45017321355849466,0.0
drop_positional,46.0,0.3652922930643294,0.0,0.12808130914474444,0.0,0.43649756489398434,0.0,0.407368715319066,0.0,0.40412089853699956,0.0,0.43649756489398434,0.0
drop_structural_core,59.0,0.44280113272276267,0.0,0.2266838854508369,0.0,0.45488699327031484,0.0,0.49577007701066805,0.0,0.476089430000841,0.0,0.45488699327031484,0.0
drop_structural_nachr,59.0,0.4375470132442045,0.0,0.1906752676109472,0.0,0.45505400922836897,0.0,0.5004077459591745,0.0,0.4557620213689667,0.0,0.45505400922836897,0.0
drop_conformational,61.0,0.42313464919391774,0.0,0.20197253401780513,0.0,0.44325590454415,0.0,0.49131644773376043,0.0,0.45050951455143007,0.0,0.44325590454415,0.0
