,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.4381124151592795,0.009165730532398827,0.21805692587914183,0.009603748044591884,0.4698663675652733,0.022666743680546816,0.4962589899865087,0.007540724424198042,0.4815166616652846,0.016259189247543358,0.4698663675652733,0.022666743680546816
drop_physicochemical,42.0,0.4193389875175886,0.005282488811481326,0.20987789360527342,0.026482027879409974,0.45826852863403994,0.012939519865044437,0.479527279369301,0.0207896023761043,0.47936190114164773,0.015383794481686123,0.45826852863403994,0.012939519865044437
drop_substitution,63.0,0.4111616534494021,0.014520439167043828,0.18794539605160135,0.032989875034235255,0.4438152437475303,0.03015452500700063,0.4696697784287734,0.02121928600191073,0.4594216986280473,0.028846382201943053,0.4438152437475303,0.03015452500700063
drop_positional,46.0,0.3836917060540201,0.020906019663836605,0.14301704623250178,0.03171415294645764,0.4335821733902743,0.025341744108969822,0.4361287276657952,0.02994556787496103,0.42696621119011563,0.014827231439044172,0.4335821733902743,0.025341744108969822
drop_structural_core,59.0,0.44915158211279554,0.04770118098781384,0.22386632332626655,0.061850294221154574,0.476601721686571,0.05898275965088651,0.502059378867363,0.03400102966635229,0.5025175526141731,0.04955925019912402,0.476601721686571,0.05898275965088651
drop_structural_nachr,59.0,0.41913119193314907,0.026338250332051245,0.19483381517006637,0.037883911681164686,0.44361494886671426,0.031676405949729564,0.49164572967365733,0.024785727567980188,0.4541051478653953,0.03204883008202103,0.44361494886671426,0.031676405949729564
drop_conformational,61.0,0.4368444507682634,0.0024226775127722316,0.20835393780375588,0.014817559335096153,0.4660903599143104,0.0069981933500024894,0.47916006727788457,0.022337141005074713,0.457489981950952,0.003119821406942853,0.4660903599143104,0.0069981933500024894
