condition,catboost,gaussian_nb,knn,lightgbm,logistic_regression,mlp,random_forest,svm_linear,svm_rbf,xgboost
drop_conformational,0.4231346491939177,0.3776407979217764,0.4246509503836393,0.4570245853343956,0.4650398821529076,0.4242747082759136,0.4253690091089883,0.4479298672395935,0.4368444507682634,0.4560948985331655
drop_physicochemical,0.4389724701963166,0.3217483578539354,0.3979813725861914,0.4094489492646871,0.4350551401211151,0.4043075066391089,0.446444562600385,0.4178341762599924,0.4193389875175886,0.4463692648988472
drop_positional,0.3652922930643294,0.4052203552902328,0.3971749493618257,0.4043603083750419,0.4056530644857873,0.3862025573471054,0.3423014610536645,0.3661854382147952,0.3836917060540201,0.4233126218331087
drop_structural_core,0.4428011327227626,0.3585544589751885,0.4364725368255294,0.4351715958085598,0.4722977756565191,0.4194005533057076,0.4234802108412431,0.4325346099303487,0.4491515821127955,0.4599630176622348
drop_structural_nachr,0.4375470132442045,0.3737595781674929,0.4192601318002411,0.4094911169541054,0.4584653898942393,0.4259408942419173,0.3804888958325422,0.4175294262770762,0.419131191933149,0.4669405847242929
drop_substitution,0.4272908982968209,0.365868937099139,0.4155938396091436,0.4211903366684618,0.440917767044726,0.3830345878659476,0.3959652637353182,0.4181036030735043,0.4111616534494021,0.4478280869813842
