,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.3845299080972146,0.0,0.12877478341146026,0.0,0.4091724829450528,0.0,0.4510646789790094,0.0,0.4046871570931184,0.0,0.4091724829450528,0.0
drop_physicochemical,42.0,0.40430750663910897,0.0,0.16976779000129566,0.0,0.4162216893450005,0.0,0.47040882738752454,0.0,0.44384770926941125,0.0,0.4162216893450005,0.0
drop_substitution,63.0,0.38303458786594763,0.0,0.1433632495932882,0.0,0.40685453045991415,0.0,0.441916185874428,0.0,0.4203995625077309,0.0,0.40685453045991415,0.0
drop_positional,46.0,0.3862025573471054,0.0,0.15008510685419724,0.0,0.46091776607157603,0.0,0.425520037035065,0.0,0.42502361802716937,0.0,0.46091776607157603,0.0
drop_structural_core,59.0,0.4194005533057076,0.0,0.18749091167144225,0.0,0.43961861976824484,0.0,0.47815525456793867,0.0,0.4448920205011365,0.0,0.43961861976824484,0.0
drop_structural_nachr,59.0,0.4259408942419173,0.0,0.21180940284411495,0.0,0.4395710267521177,0.0,0.49857636740715244,0.0,0.45686981494310624,0.0,0.4395710267521177,0.0
drop_conformational,61.0,0.4242747082759136,0.0,0.2100071623428234,0.0,0.4417602563791762,0.0,0.48033600041683977,0.0,0.45911504889757887,0.0,0.4417602563791762,0.0
