,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.46228191409607394,0.012128919052711561,0.24454353470367032,0.013775587844373363,0.48986382681338103,0.023066023368849387,0.5021831178823959,0.0229745959869837,0.4851634466489004,0.013373881980726077,0.48986382681338103,0.023066023368849387
drop_physicochemical,42.0,0.4350551401211151,0.027185229511654377,0.19437464807728075,0.030377905702723588,0.45884544162403856,0.03327531867673939,0.4814324794719733,0.002423950242883287,0.4611881467343673,0.022194762722997138,0.45884544162403856,0.03327531867673939
drop_substitution,63.0,0.440917767044726,0.004222022576946349,0.21300031355556456,0.01766984518404575,0.46188506638652344,0.014305871514637478,0.4841869116972135,0.02195194965578664,0.4609491259969866,0.003280767794060731,0.46188506638652344,0.014305871514637478
drop_positional,46.0,0.40565306448578736,0.030756700590506305,0.17509521731400357,0.01710578480295432,0.4627418525770038,0.022420079969522652,0.4340027832955095,0.028996712745472414,0.445443675927825,0.004250271145029643,0.4627418525770038,0.022420079969522652
drop_structural_core,59.0,0.47229777565651915,0.023298421997165215,0.26897999533597095,0.013519409096022708,0.5009653493507229,0.024977278339252756,0.5112965345264905,0.009978732292762475,0.5044654019589824,0.017447284271113847,0.5009653493507229,0.024977278339252756
drop_structural_nachr,59.0,0.4584653898942393,0.004801374027858309,0.23622884431290023,0.019412964251917585,0.4824332837342338,0.009394049233405925,0.5025447261242043,0.021653168199162104,0.4859777492070159,0.00696482366471199,0.4824332837342338,0.009394049233405925
drop_conformational,61.0,0.4650398821529076,0.007982805821561686,0.2479195960227775,0.01873328229618077,0.4947993325587959,0.014491744054108505,0.4983519127725356,0.024685451558770027,0.48776866161288607,0.003640150935382198,0.4947993325587959,0.014491744054108505
