,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.4616750480381178,0.04339543184051831,0.2503221731367364,0.05932995213408076,0.48821566573880465,0.043691624915128326,0.5204705782428573,0.03463894381185078,0.5154804212069156,0.05973432060219386,0.48821566573880465,0.043691624915128326
drop_physicochemical,42.0,0.44636926489884726,0.026322502824675457,0.22664914946662265,0.030229795017712956,0.4754173947760973,0.02767843393168826,0.5169695156170778,0.016506867593252306,0.5143585416255149,0.027631153020418332,0.4754173947760973,0.02767843393168826
drop_substitution,63.0,0.4478280869813842,0.033527986748586376,0.238180582753452,0.04468017282881251,0.4765315805011037,0.0316771783972987,0.5088290849986743,0.033407887934202164,0.5172038099873073,0.04980277685812109,0.4765315805011037,0.0316771783972987
drop_positional,46.0,0.4233126218331087,0.020430738750877045,0.18139648161674482,0.039335949652229495,0.4658754373229781,0.008960041383782381,0.47404976749344185,0.031111185795416402,0.4548072830402054,0.02376328136201747,0.4658754373229781,0.008960041383782381
drop_structural_core,59.0,0.45996301766223485,0.033383996142457226,0.2558093912324709,0.04170281605054775,0.4834848320021572,0.03443510749974503,0.5224741379748913,0.02957462544164093,0.5243979714574708,0.04259173929468126,0.4834848320021572,0.03443510749974503
drop_structural_nachr,59.0,0.46694058472429295,0.009394336959956876,0.271525334632896,0.01579373501204298,0.49219011601483614,0.009492520562901232,0.5347259372258436,0.021827153904548684,0.5189292041893734,0.01765475257829177,0.49219011601483614,0.009492520562901232
drop_conformational,61.0,0.4560948985331655,0.039124356745907335,0.24813181436833998,0.04972274795910823,0.487623388258608,0.03625028378695561,0.5183197803870255,0.030877644368034644,0.5149955315906855,0.04588518216689163,0.487623388258608,0.03625028378695561
