,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.43081932073189144,0.0,0.22845634959198388,0.0,0.4488953301166281,0.0,0.5041450692342836,0.0,0.46272923099489355,0.0,0.4488953301166281,0.0
drop_physicochemical,42.0,0.446444562600385,0.0,0.2521408074380466,0.0,0.4634811937332122,0.0,0.5245742739584693,0.0,0.4924566062507842,0.0,0.4634811937332122,0.0
drop_substitution,63.0,0.39596526373531826,0.0,0.15910014442110437,0.0,0.42416485733441733,0.0,0.4510540563251134,0.0,0.4392653144559152,0.0,0.42416485733441733,0.0
drop_positional,46.0,0.3423014610536645,0.0,0.09105033265611061,0.0,0.4153471320394949,0.0,0.38878086445000043,0.0,0.37427841339808754,0.0,0.4153471320394949,0.0
drop_structural_core,59.0,0.4234802108412431,0.0,0.2157045202171924,0.0,0.4367717937081988,0.0,0.4951360198119635,0.0,0.45545127141252745,0.0,0.4367717937081988,0.0
drop_structural_nachr,59.0,0.38048889583254225,0.0,0.14923989980974786,0.0,0.4012503632497918,0.0,0.4559473573856475,0.0,0.4237848170348171,0.0,0.4012503632497918,0.0
drop_conformational,61.0,0.4253690091089883,0.0,0.21823595682090172,0.0,0.4402384970728875,0.0,0.49905721563913996,0.0,0.459841976792713,0.0,0.4402384970728875,0.0
