,n_features,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
full,66.0,0.3862693346290933,0.04162298047310731,0.17768236168631255,0.04448438047252422,0.4621836426334049,0.02227698727178298,0.42102228059614677,0.024395084916973574,0.44765312597719165,0.0357856750717452,0.4621836426334049,0.02227698727178298
drop_physicochemical,42.0,0.32174835785393546,0.03289062892121982,0.12912462162424046,0.034803847214243885,0.4091932286932185,0.03481689054541008,0.389659408297111,0.011926198149959192,0.37997491882304296,0.025065608945780464,0.4091932286932185,0.03481689054541008
drop_substitution,63.0,0.36586893709913904,0.04198641707222053,0.15114474740509617,0.0400735048487996,0.42617827433772054,0.04559389861368641,0.4020462885979539,0.019506189759838817,0.43528979892872943,0.027835900765159075,0.42617827433772054,0.04559389861368641
drop_positional,46.0,0.40522035529023287,0.035388749657087035,0.18453466901969462,0.02745113338129049,0.4756576889323248,0.023806458981586356,0.4280233703830798,0.02648947520517009,0.457560492516963,0.013893442780201331,0.4756576889323248,0.023806458981586356
drop_structural_core,59.0,0.3585544589751885,0.04629762408864464,0.1493309067579883,0.050800423467596834,0.42932376623144064,0.0479740687853366,0.406860429001183,0.024528535036596154,0.41915802923919726,0.04527021923213056,0.42932376623144064,0.0479740687853366
drop_structural_nachr,59.0,0.37375957816749295,0.03766122717485712,0.16217327856930278,0.04550782474599344,0.4378277212617416,0.04325990178309387,0.415732469737302,0.016366958695009457,0.4347084651812951,0.04814877726952133,0.4378277212617416,0.04325990178309387
drop_conformational,61.0,0.37764079792177646,0.05848399191036302,0.17398551250520702,0.061967887023621146,0.44122176230699095,0.05626298368115869,0.42183696145656663,0.033574457542202354,0.4392297196999609,0.058660421471860465,0.44122176230699095,0.05626298368115869
